,배번,선수,G,Min,2P,2PA,%,3P,3PA,%,FG%,FT,FTA,%,eFG%,팀,ORB,DRB,RPG,Ast,APG,w/FT,w/oFT,STL,BS,GD,TO,DK,DKA,PTS,PPG
148,6,권시현,0,00:00:00,0,0,0.0,0,0,0.0,0.0,0,0,0.0,,전주 KCC 이지스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,7,김국찬,16,02:48:05,15,22,68.2,3,25,12.0,38.3,6,6,100.0,0.415,전주 KCC 이지스,6,15,1.3,4,0.3,11,2,1,3,0,11,0,0,45,2.8
150,23,김민구,43,09:03:25,32,71,45.1,18,66,27.3,36.5,14,18,77.8,0.431,전주 KCC 이지스,14,53,1.6,50,1.2,23,17,20,6,4,32,0,0,132,3.1
151,1,김진용,2,00:06:01,1,1,100.0,0,0,0.0,100.0,0,0,0.0,1.0,전주 KCC 이지스,0,2,1,2,1,0,0,0,0,0,2,0,0,2,1
152,20,마커스 킨,9,03:22:56,31,61,50.8,17,54,31.5,41.7,18,23,78.3,0.491,전주 KCC 이지스,6,22,3.1,17,1.9,13,9,5,0,1,27,0,0,131,14.6
153,25,마퀴스 티그,43,16:18:38,175,379,46.2,33,89,37.1,44.4,58,79,73.4,0.48,전주 KCC 이지스,15,90,2.4,155,3.6,46,34,27,13,0,61,2,2,507,11.8
154,13,박세진,21,02:27:04,25,44,56.8,0,0,0.0,56.8,7,7,100.0,0.568,전주 KCC 이지스,10,20,1.4,1,0,21,3,5,2,2,4,3,3,57,2.7
155,8,박준우,3,00:06:24,1,2,50.0,0,0,0.0,50.0,2,3,66.7,0.5,전주 KCC 이지스,0,1,0.3,0,0,1,0,0,0,0,1,0,0,4,1.3
156,15,브랜든 브라운,54,31:50:56,517,869,59.5,32,94,34.0,57.0,239,355,67.3,0.587,전주 KCC 이지스,186,526,13.2,217,4,99,80,109,44,21,170,57,57,1369,25.4
157,2,송교창,42,22:38:46,199,360,55.3,34,67,50.8,54.6,93,146,63.7,0.585,전주 KCC 이지스,58,152,5,40,1,52,46,36,20,2,44,5,6,593,14.1
158,12,송창용,40,13:57:46,37,72,51.4,39,119,32.8,39.8,18,25,72.0,0.5,전주 KCC 이지스,19,46,1.6,20,0.5,40,33,21,3,3,17,0,0,209,5.2
159,17,신명호,23,03:03:41,7,11,63.6,3,11,27.3,45.5,5,7,71.4,0.523,전주 KCC 이지스,11,19,1.3,11,0.5,14,27,9,0,2,7,0,0,28,1.2
160,77,유현준,28,05:01:15,13,28,46.4,10,31,32.3,39.0,8,13,61.5,0.475,전주 KCC 이지스,4,19,0.8,30,1.1,13,12,9,0,3,13,0,0,64,2.3
161,5,이정현,51,28:04:29,178,348,51.2,102,308,33.1,42.7,216,276,78.3,0.505,전주 KCC 이지스,26,130,3.1,226,4.4,59,74,66,5,2,139,0,0,878,17.2
162,10,이현민,25,05:02:56,5,12,41.7,6,15,40.0,40.7,12,14,85.7,0.519,전주 KCC 이지스,7,29,1.4,30,1.2,11,16,13,1,3,14,0,0,40,1.6
163,3,전태풍,22,04:52:51,19,47,40.4,7,29,24.1,34.2,19,23,82.6,0.388,전주 KCC 이지스,7,28,1.6,39,1.8,18,11,18,0,0,18,0,0,78,3.5
164,33,정희재,51,17:47:09,42,85,49.4,35,99,35.4,41.9,33,51,64.7,0.514,전주 KCC 이지스,32,103,2.6,43,0.8,58,61,37,2,10,28,0,0,222,4.4
165,9,최승욱,37,07:10:04,29,58,50.0,5,30,16.7,38.6,9,14,64.3,0.415,전주 KCC 이지스,26,41,1.8,17,0.5,22,21,17,3,5,10,0,0,82,2.2
166,0,하승진,34,10:02:34,107,176,60.8,0,0,0.0,60.8,50,96,52.1,0.608,전주 KCC 이지스,100,114,6.3,10,0.3,33,17,9,26,1,27,7,7,264,7.8
167,13,강상재,48,21:33:48,189,310,61.0,41,103,39.8,55.7,64,89,71.9,0.607,인천 전자랜드 엘리펀츠,80,192,5.7,67,1.4,96,64,33,21,1,46,0,0,565,11.8
168,1,기디 팟츠,54,24:38:36,237,458,51.8,126,363,34.7,44.2,166,208,79.8,0.519,인천 전자랜드 엘리펀츠,51,260,5.8,117,2.2,80,61,86,20,5,86,2,2,1018,18.9
169,4,김낙현,54,17:15:02,65,155,41.9,71,179,39.7,40.7,69,88,78.4,0.513,인천 전자랜드 엘리펀츠,24,56,1.5,137,2.5,38,45,38,5,5,48,0,0,412,7.6
170,2,김상규,52,13:58:41,48,78,61.5,26,70,37.1,50.0,21,31,67.7,0.588,인천 전자랜드 엘리펀츠,48,83,2.5,42,0.8,19,33,29,10,0,28,0,0,195,3.8
171,3,김정년,0,00:00:00,0,0,0.0,0,0,0.0,0.0,0,0,0.0,,인천 전자랜드 엘리펀츠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,31,머피 할로웨이,17,09:02:32,137,235,58.3,0,6,0.0,56.9,35,81,43.2,0.568,인천 전자랜드 엘리펀츠,64,158,13.1,51,3,26,16,30,33,2,49,15,15,309,18.2
173,24,박봉진,38,04:43:25,7,22,31.8,5,15,33.3,32.4,6,13,46.2,0.392,인천 전자랜드 엘리펀츠,21,13,0.9,11,0.3,29,41,8,0,2,13,0,0,35,0.9
174,34,박성진,1,00:01:39,0,0,0.0,0,1,0.0,0.0,0,0,0.0,0.0,인천 전자랜드 엘리펀츠,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
175,30,박찬희,49,18:17:58,72,199,36.2,39,121,32.2,34.7,56,78,71.8,0.408,인천 전자랜드 엘리펀츠,28,100,2.6,281,5.7,37,43,41,4,9,77,0,0,317,6.5
176,40,윌리엄 다니엘스,5,01:59:25,27,49,55.1,3,11,27.3,50.0,10,12,83.3,0.525,인천 전자랜드 엘리펀츠,10,21,6.2,5,1,8,4,1,2,3,8,0,0,73,14.6
177,7,임준수,6,00:32:06,1,2,50.0,0,0,0.0,50.0,0,0,0.0,0.5,인천 전자랜드 엘리펀츠,0,2,0.3,3,0.5,3,6,2,0,0,1,0,0,2,0.3
178,9,전현우,17,03:41:02,11,15,73.3,11,35,31.4,44.0,0,1,0.0,0.55,인천 전자랜드 엘리펀츠,11,19,1.8,3,0.2,11,10,7,1,1,8,0,0,55,3.2
179,5,정병국,12,00:37:06,2,10,20.0,2,4,50.0,28.6,0,0,0.0,0.357,인천 전자랜드 엘리펀츠,0,1,0.1,1,0.1,2,2,2,0,0,1,0,0,10,0.8
180,20,정영삼,41,08:22:35,24,59,40.7,31,72,43.1,42.0,29,35,82.9,0.538,인천 전자랜드 엘리펀츠,15,27,1,21,0.5,12,42,21,1,1,14,0,0,170,4.1
181,12,정효근,52,23:38:00,129,279,46.2,63,175,36.0,42.3,105,142,73.9,0.492,인천 전자랜드 엘리펀츠,79,171,4.8,134,2.6,64,49,33,36,3,88,6,6,552,10.6
